name,source,gender,wikidata,type
"Rue Pierre et Marie Curie",wikidata,+,Q37463;Q7186,way
"Allée Marcelle Rivier",wikidata,F,Q3289579,way
"Lotissement Les Jardins d'Héloïse",wikidata,F,Q5656,way
"Montée Sainte-Catherine",wikidata,F,Q179718,way
"Rue Claire de Chandeneux",wikidata,F,Q2975144,way
"Rue Hélène Bouchet",wikidata,F,Q300903,way
"Rue Sainte-Euphémie",wikidata,F,Q240610,way
"Rue Sainte-Marie",wikidata,F,Q345,way
"Rue de Sainte-Ursule",wikidata,F,Q369691,way
"Allée André Lhote",wikidata,M,Q463065,way
"Allée Arbelet",wikidata,M,Q15078915,way
"Allée Claude Monet",wikidata,M,Q296,way
"Allée Diderot",wikidata,M,Q448,way
"Allée Edgar Degas",wikidata,M,Q46373,way
"Avenue Félix Rozier",wikidata,M,Q3092600,way
"Chemin Arbelet",wikidata,M,Q15078915,way
